spectrum_index,spectrum_run_id,model_name,climate_key,climate_index,climate_cache_nc,phase_deg,output_nc,status,planet_class_id,separation_id,star_teff_k,star_radius_rsun,stellar_spectrum_filename,stellar_spectrum_w_unit,stellar_spectrum_f_unit,planet_radius_rearth,gravity_ms2,metallicity_xsolar,c_to_o_xsolar,cloud_fraction,cloud_model,fsed,insolation_searth,semi_major_au,picaso_tint_k
20,4972bf5f1d2c,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,10.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000020.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
21,c2b7a6deea0e,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,20.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000021.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
22,383df41b809c,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,30.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000022.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
23,45fc83277124,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,40.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000023.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
24,7eec1b87e58f,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,50.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000024.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
25,15578f668f8a,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,60.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000025.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
26,c4905c8dc08a,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,70.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000026.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
27,cb1eaacd6a75,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,80.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000027.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
28,e5ba32f0fb48,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,90.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000028.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
29,e3eeb481bccd,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,100.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000029.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
