wavelength_um,geometric_albedo_cloud_free,geometric_albedo_cloudy_virga,fpfs_reflected_cloud_free,fpfs_reflected_cloudy_virga
0.443,0.07802014517818269,0.041704590574009624,3.1909580615828255e-10,1.705682541261927e-10
0.444,0.08252363527725906,0.04310130628059834,3.375147004119229e-10,1.7628070343463738e-10
0.44499999999999995,0.08275161354587841,0.04311205825048085,3.3844711228126156e-10,1.763246780836157e-10
0.44599999999999995,0.08204997252302013,0.042824404477959155,3.355774597407368e-10,1.7514819844200964e-10
0.44699999999999995,0.08001211377515537,0.042089014164970136,3.2724278952829976e-10,1.721405141544669e-10
0.44799999999999995,0.07847605280148849,0.041577560938166204,3.2096042984310436e-10,1.7004871364132334e-10
0.44899999999999995,0.06684084791984488,0.038014136745491395,2.733734242941442e-10,1.5547460957052676e-10
0.44999999999999996,0.03964824718406613,0.03176765122337794,1.6215798328840191e-10,1.2992701120624924e-10
0.45099999999999996,0.07393292938021402,0.04002094468634758,3.023794386481079e-10,1.6368228460406942e-10
0.45199999999999996,0.07821555646217619,0.041267815139290336,3.198950218102904e-10,1.6878187947726601e-10
0.45299999999999996,0.07867081840568022,0.041353739881944865,3.217570047192408e-10,1.691333044196789e-10
0.45399999999999996,0.07123080093040259,0.03904801838208536,2.913279614422321e-10,1.5970309816853887e-10
0.45499999999999996,0.07090372837690738,0.03890821269271603,2.8999026231476384e-10,1.5913130470349292e-10
0.45599999999999996,0.07833744445658028,0.04108481928360643,3.203935334158067e-10,1.6803344187874936e-10
0.45699999999999996,0.07866374883021711,0.04113303639721044,3.2172809075251537e-10,1.6823064580218422e-10
0.45799999999999996,0.07835918459307178,0.0409874601470535,3.2048244873843145e-10,1.6763525123075346e-10
0.45899999999999996,0.07791065288017707,0.040796381467886486,3.1864799190440704e-10,1.6685375556666303e-10
0.45999999999999996,0.07721242011988153,0.0405313312307877,3.157922788699877e-10,1.6576972247641017e-10
0.46099999999999997,0.07622823272870065,0.04018350751535765,3.117670355397881e-10,1.6434715284874998e-10
0.46199999999999997,0.07502350460263515,0.03976428963928007,3.0683979922523786e-10,1.6263258713219777e-10
0.46299999999999997,0.06941141963809708,0.03810410037162077,2.838868455759178e-10,1.5584255320532918e-10
0.46399999999999997,0.06693337988760018,0.03732447521711143,2.7375187222933914e-10,1.5265395215093124e-10
0.46499999999999997,0.059018487591686944,0.035140365217725074,2.4138063103192246e-10,1.4372112666847566e-10
0.46599999999999997,0.03494331095262989,0.029222974131892242,1.4291519136248676e-10,1.1951949676154136e-10
0.46699999999999997,0.017228140725048052,0.020467497765308065,7.046164090969714e-11,8.371033768968375e-11
0.46799999999999997,0.05811328626313355,0.034685847674639746,2.3767843402869176e-10,1.4186218829438441e-10
0.469,0.06771309077558228,0.03724337791271388,2.769408239264018e-10,1.5232227102338527e-10
0.47,0.06879842653668235,0.03752923920597953,2.8137975554912174e-10,1.5349141957618189e-10
0.471,0.04986490242791722,0.032483138476574594,2.0394324059383878e-10,1.3285329365975336e-10
0.472,0.0500330275969283,0.032499492507592764,2.0463085833946806e-10,1.3292018026576728e-10
0.473,0.06640992280449722,0.036702568326057165,2.7161097695747655e-10,1.5011040547714418e-10
0.474,0.0619623216355114,0.03543732881297942,2.5342066370893216e-10,1.4493568269898462e-10
0.475,0.04008460579988859,0.029979861249789446,1.6394265318323457e-10,1.2261510116607873e-10
0.476,0.043831006049741925,0.030753002852504416,1.7926511387833256e-10,1.2577718504107552e-10
0.477,0.0665445537827722,0.036547809676463115,2.7216160629107263e-10,1.4947745566733028e-10
0.478,0.06699159166026653,0.03663239677410059,2.7398995346444125e-10,1.4982340975456734e-10
0.479,0.05387352088381013,0.033064195560061876,2.203381516112796e-10,1.352297680697395e-10
0.48,0.048778338833392734,0.03171317166548536,1.994992872360849e-10,1.2970419441444275e-10
0.481,0.05826928478931423,0.03406818552620805,2.3831645482905613e-10,1.3933600225951935e-10
0.482,0.06624187535821827,0.03624181256851381,2.7092367709125917e-10,1.4822595333264238e-10
0.483,0.06689565272289232,0.03638287797513873,2.73597571311172e-10,1.488028989348996e-10
0.484,0.06572890767602503,0.035986976391111654,2.688256825834463e-10,1.4718369488412598e-10
0.485,0.051948882270055736,0.03227872914070719,2.1246654218762713e-10,1.3201727673533053e-10
0.486,0.056146316847423675,0.03328942695873673,2.2963369519923695e-10,1.3615094547293678e-10
0.487,0.03953509736156605,0.029056768897204273,1.6169521006816664e-10,1.1883973138518423e-10
0.488,0.063083210470331,0.03508500312736648,2.5800500440124604e-10,1.434947003933997e-10
0.489,0.06430834426597931,0.03538653298656891,2.630156981814401e-10,1.4472793205790442e-10
0.49,0.0641081389098178,0.03528525614442363,2.621968751790519e-10,1.443137183248268e-10
0.491,0.06271290273177395,0.03480957253150601,2.564904770174319e-10,1.4236821251227572e-10
0.492,0.06196438237961291,0.03456316125770352,2.5342909197830873e-10,1.413604112081264e-10
0.493,0.06084170006766291,0.034200135121362364,2.4883741611596353e-10,1.3987566496255414e-10
0.494,0.05235152259289169,0.0317277819324968,2.141133071111446e-10,1.297639491729036e-10
0.495,0.0478721990634671,0.030589335311486332,1.957932520868789e-10,1.2510779861755842e-10
0.496,0.04097136433141467,0.028970672219136497,1.675694207038387e-10,1.1848760324144848e-10
0.497,0.03732634672723761,0.028123558313096896,1.526616064693266e-10,1.1502297889169546e-10
0.498,0.01051274918353701,0.013297688552195857,4.2996256518100296e-11,5.438642338993324e-11
