T_eff,logg,R_p_Rj,a_AU,phase_deg,band,f_reflect,Fp_ref_band,Fp_th_band,decision
600,4.0,1.2,10.0,60.0,CGI-1,0.19884302269167858,0.1564769185934084,0.6304600152513256,True
600,4.0,1.2,20.0,60.0,CGI-1,0.05842359951616077,0.0391192296483521,0.6304600152513256,False
700,3.0,1.0,5.0,60.0,CGI-1,0.3562266783392023,0.7155479233582316,1.2931391482958468,True
700,3.0,1.0,10.0,60.0,CGI-1,0.12152432439811871,0.1788869808395579,1.2931391482958468,True
700,3.0,1.0,20.0,60.0,CGI-1,0.033427799128428394,0.044721745209889474,1.2931391482958468,False
700,3.0,1.2,5.0,60.0,CGI-1,0.4434588004102603,1.0303890096358537,1.2931391482958468,True
700,3.0,1.2,10.0,60.0,CGI-1,0.16611285599015113,0.2575972524089634,1.2931391482958468,True
700,3.0,1.2,20.0,60.0,CGI-1,0.047438297281034644,0.06439931310224085,1.2931391482958468,False
700,3.5,1.0,5.0,60.0,CGI-1,0.21680853256876664,0.35797581154555164,1.2931391482958468,True
700,3.5,1.0,10.0,60.0,CGI-1,0.06472718815271035,0.08949395288638791,1.2931391482958468,False
700,3.5,1.0,20.0,60.0,CGI-1,0.017007429347715205,0.022373488221596977,1.2931391482958468,False
700,3.5,1.2,5.0,60.0,CGI-1,0.2850150602326469,0.5154851686255943,1.2931391482958468,True
700,3.5,1.2,10.0,60.0,CGI-1,0.0906261223478875,0.1288712921563986,1.2931391482958468,False
700,3.5,1.2,20.0,60.0,CGI-1,0.02430878905526012,0.03221782303909965,1.2931391482958468,False
700,4.0,1.0,5.0,60.0,CGI-1,0.2763682765270911,0.49387364612631335,1.2931391482958468,True
700,4.0,1.0,10.0,60.0,CGI-1,0.08715780928531794,0.12346841153157834,1.2931391482958468,False
700,4.0,1.0,20.0,60.0,CGI-1,0.023313411742138,0.030867102882894584,1.2931391482958468,False
700,4.0,1.2,5.0,60.0,CGI-1,0.354823104285523,0.7111780504218912,1.2931391482958468,True
700,4.0,1.2,10.0,60.0,CGI-1,0.12087187704748603,0.1777945126054728,1.2931391482958468,True
