T_eff,logg,R_p_Rj,a_AU,phase_deg,band,Fp_ref_band,Fp_th_band_hybrid_irflux,Fp_th_band_james_picaso,thermal_ratio_james_to_hybrid,f_reflect_hybrid_irflux,f_reflect_james_picaso,delta_f_reflect_james_minus_hybrid,decision_hybrid_irflux,decision_james_picaso,decision_changed,T_eff_key,temperature_k,thermal_gravity_code,thermal_logg_cgs,thermal_pt_file,thermal_cld_file
500,3.5,1.0,10.0,60.0,CGI-2,0.2941555452026358,48.74203889394567,50.68556705521989,1.0398737559071545,0.005998743347991,0.005770049937466663,-0.00022869341052433705,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.0,10.0,60.0,CGI-3,0.22043151833625,140.03440500190615,147.19546427247022,1.0511378562323066,0.0015716500322214,0.0014953035909306403,-7.634644129075972e-05,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.0,10.0,60.0,CGI-4,0.1187115644268942,2240.2864772681437,2434.466368210139,1.0866763661309882,5.298664947689769e-05,4.876049122829853e-05,-4.226158248599158e-06,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.0,20.0,60.0,CGI-1,0.0506273642025185,0.1542752914879309,0.12010449975225923,0.7785076832063877,0.247080078254341,0.29653143256216263,0.04945135430782163,True,True,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.0,20.0,60.0,CGI-2,0.0735388863006589,48.74203889394567,50.68556705521989,1.0398737559071545,0.0015064635029356,0.0014487821433534088,-5.7681359582191245e-05,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.0,20.0,60.0,CGI-3,0.0551078795840625,140.03440500190615,147.19546427247022,1.0511378562323066,0.0003933761953379,0.00037424560583137735,-1.913058950652266e-05,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.0,20.0,60.0,CGI-4,0.0296778911067235,2240.2864772681437,2434.466368210139,1.0866763661309882,1.324718881233704e-05,1.2190568620660335e-05,-1.056620191676706e-06,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.2,5.0,60.0,CGI-1,1.1664544712260272,0.1542752914879309,0.12010449975225923,0.7785076832063877,0.8831893580024186,0.9066467200792723,0.02345736207685367,True,True,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.2,5.0,60.0,CGI-2,1.6943359403671825,48.74203889394567,50.68556705521989,1.0398737559071545,0.0335935313736008,0.03234706143900128,-0.0012464699345995159,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.2,5.0,60.0,CGI-3,1.2696855456167997,140.03440500190615,147.19546427247022,1.0511378562323066,0.0089854832984455,0.008552078027554168,-0.0004334052708913315,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.2,5.0,60.0,CGI-4,0.6837786110989106,2240.2864772681437,2434.466368210139,1.0866763661309882,0.0003051261431538,0.00028079525691320997,-2.4330886240590008e-05,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.2,10.0,60.0,CGI-1,0.2916136178065068,0.1542752914879309,0.12010449975225923,0.7785076832063877,0.654005093483819,0.7082846378867059,0.05427954440288696,True,True,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.2,10.0,60.0,CGI-2,0.4235839850917956,48.74203889394567,50.68556705521989,1.0398737559071545,0.0086154503957763,0.008287830583562212,-0.00032761981221408887,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
500,3.5,1.2,10.0,60.0,CGI-3,0.3174213864041999,140.03440500190615,147.19546427247022,1.0511378562323066,0.0022616120828096,0.0021518214153727648,-0.0001097906674368352,False,False,False,500,500,31,3.4913616938342726,SLGRID_T500_g31_m+000_CO100_fsed3_full.pt,SLGRID_T500_g31_m+000_CO100_fsed3_picaso.cld
